Puesto,Ciudad,Índice de Calidad de Vida,Índice de Poder Adquisitivo,Índice de Seguridad,Índice de Sanidad,Índice de Costo de Vida,Relación Precio/Ingresos para Propiedades,Índice de Tiempo de Desplazamiento en Tráfico,Índice de Contaminación,Índice de Clima,Año
,"Montreal, Canadá",15389,10023,6208,6919,8327,486,4813,4206,-,2014
,"Oslo, Noruega",14900,9463,5835,7344,14122,840,3200,3008,-,2014
,"Auckland, Nueva Zelanda",14794,8913,5063,7213,10755,635,3400,2902,-,2014
,"Ciudad del Cabo, Sudáfrica",14780,9695,3009,7130,4683,460,4244,3258,-,2014
,"Houston, Texas, Estados Unidos",14537,12057,4321,7561,8652,259,4094,6746,-,2014
,"Tallin, Estonia",14070,4806,6891,7454,6959,1254,2550,957,-,2014
,"Vilna, Lituania",13005,4384,7083,7299,6120,1361,2571,1608,-,2014
,"Nueva York, Nueva York, Estados Unidos",12573,10000,5421,5482,10000,785,3938,5195,-,2014
,"Praga, República Checa",12525,6410,6737,7071,5848,1287,3433,3513,-,2014
,"Dublín, Irlanda",12366,8834,3975,3825,11145,657,2412,3114,-,2014
,"Oporto, Portugal",12320,5714,6029,6917,6668,764,2229,3900,-,2014
,"Liubliana, Eslovenia",12243,5939,6541,6096,7754,1188,2080,3184,-,2014
,"Brno, República Checa",11697,6288,6513,5676,5803,1020,3022,4102,-,2014
,"Bruselas, Bélgica",11501,8983,4865,7056,10382,585,2433,6696,-,2014
,"Mánchester, Reino Unido",11421,6349,4775,8611,10472,623,4525,3711,-,2014
,"Ahmedabad, India",10820,6610,7659,6713,2706,677,4900,7047,-,2014
,"Johannesburgo, Sudáfrica",10814,9851,1639,6062,5281,324,3683,6251,-,2014
,"Cluj-Napoca, Rumania",10789,4047,7727,5714,4738,1266,2320,3772,-,2014
,"Lisboa, Portugal",10761,5464,6133,6419,7123,1025,4154,3461,-,2014
,"Zagreb, Croacia",10287,4988,6739,6250,7135,1384,3386,3493,-,2014
,"Londres, Reino Unido",9694,8153,5426,7407,11327,1476,4753,5138,-,2014
,"Salónica, Grecia",9601,4327,6757,6941,8397,1166,2050,4728,-,2014
,"Madrid, España",9529,6846,6388,7519,8220,1313,3488,6354,-,2014
,"París, Francia",9451,8848,4739,8333,12068,1587,3567,6247,-,2014
,"Varsovia, Polonia",9404,6350,6556,5516,5861,1247,3750,5579,-,2014
,"Breslavia, Polonia",9313,5611,6542,5760,5442,1099,3586,5506,-,2014
,"Bangalore, India",9010,7425,4959,6938,2830,813,4512,7656,-,2014
,"Singapur, Singapur",8383,6402,8022,5990,10130,2300,4810,4501,-,2014
,"Barcelona, España",8325,6667,5913,6975,8213,1296,2871,7094,-,2014
,"Hyderabad, India",8033,6659,5924,6277,2556,693,5045,8288,-,2014
,"Hong Kong, Hong Kong, China)",7912,6836,8203,7398,8273,2587,4043,6425,-,2014
,"Pune, India",7909,7754,5143,6701,2832,1037,6400,7712,-,2014
,"Buenos Aires, Argentina",7780,5775,4486,8160,7130,1047,4722,6059,-,2014
,"Budapest, Hungría",7471,4664,6158,4867,6131,967,4154,5510,-,2014
,"Ankara, Turquía",7193,6370,6095,4247,4838,526,4483,8111,-,2014
,"Estambul, Turquía",7062,5689,5713,6674,5356,859,6838,6542,-,2014
,"Bania Luka, Bosnia y Herzegovina",6929,4262,6633,3935,5144,1308,2460,5900,-,2014
,"Coimbatore, India",6823,4517,4650,8056,2485,1099,6375,5827,-,2014
,"Chennai, India",6812,6156,6407,6569,2712,1540,4733,7945,-,2014
,"Kuala Lumpur, Malasia",6561,7361,2605,5724,5194,923,4367,7048,-,2014
,"Belgrado, Serbia",6397,3964,6396,5272,5488,1804,2600,5495,-,2014
,"Sofía, Bulgaria",6151,4196,5424,5991,5159,957,3791,6768,-,2014
,"Milán, Italia",5618,7300,4776,6754,10043,1748,4400,7436,-,2014
,"Curitiba, Brasil",5419,3302,4142,5569,5995,1590,2825,4483,-,2014
,"Delhi, India",5394,6359,4362,6739,3048,1575,4708,7992,-,2014
,"Ciudad de México, México",5389,6010,3472,6458,5339,752,5056,7855,-,2014
,"Santiago de Chile, Chile",5195,5435,5108,6157,6086,987,5060,7929,-,2014
,"Bangkok, Tailandia",4689,3931,6205,9015,5281,1991,3650,8041,-,2014
,"Atenas, Grecia",4314,4180,4765,4894,8675,1294,4164,5982,-,2014
,"Amán, Jordania",3995,3758,4973,7272,6393,807,6020,7727,-,2014
,"Calcuta, India",3748,5561,5148,3284,2618,1116,6088,8016,-,2014
,"Bucarest, Rumania",2824,3719,6811,5027,5212,1401,3812,9266,-,2014
,"Roma, Italia",2505,5899,4063,6246,9551,2411,4462,7101,-,2014
,"Bogotá, Colombia",2482,3024,4431,6389,5527,1597,4550,6985,-,2014
,"Shanghái, China",2390,4587,7472,6693,6167,2857,3433,8983,-,2014
,"Kiev (Kiev), Ucrania",1755,3680,4924,4058,4951,1699,3300,8109,-,2014
,"Sao Paulo, Brasil",1405,4496,2776,5569,7078,1544,4818,7546,-,2014
,"Beirut, Líbano",1351,4045,5002,6343,7362,1866,4175,8825,-,2014
,"San Petersburgo, Rusia",1008,4429,4667,5333,6085,1647,6250,8452,-,2014
,"Río de Janeiro, Brasil",751,4499,2803,4709,6853,1826,4500,7432,-,2014
,"Moscú, Rusia",-112,4711,4646,4746,7394,2108,5800,8586,-,2014
,"El Cairo, Egipto",-408,2652,4687,5609,3958,1078,6450,9707,-,2014
,"Bombay, India",-506,4784,5812,6386,3134,2853,7480,9270,-,2014
,"Yakarta, Indonesia",-699,2847,4689,4806,4562,1751,5643,8729,-,2014
,"Ulán Bator, Mongolia",-2710,2538,3377,2723,5805,1570,3686,9498,-,2014
,"Teherán, Irán",-2884,2960,3823,4655,5265,2375,6100,8685,-,2014
,"Caracas, Venezuela",-3554,1800,1767,4549,12282,1898,3875,7265,-,2014
,"Canberra, Australia",24218,13475,6915,7427,9696,479,1862,827,-,2015
,"Ottawa, Canadá",22388,13102,7517,6765,7987,569,3386,1807,-,2015
,"Zúrich, Suiza",21848,13391,8034,7135,14106,807,2644,1879,-,2015
,"Fráncfort del Óder, Alemania",21097,13955,7004,6310,8353,576,2717,3585,-,2015
,"Sacramento, California, Estados Unidos",20902,14530,4975,7434,8821,257,2250,4172,-,2015
,"Denver, Colorado, Estados Unidos",20392,13006,6228,8348,7859,260,5250,3243,-,2015
,"Austin, Texas, Estados Unidos",19866,13639,5864,7784,7826,390,3675,4380,-,2015
,"Salt Lake City, Utah, Estados Unidos",19733,13761,6971,6889,6971,294,3783,5328,-,2015
,"Boston, Massachusetts, Estados Unidos",19729,11878,5887,7959,8937,320,4214,2509,-,2015
,"Múnich, Alemania",19687,9964,8536,9059,8416,1309,2450,2182,-,2015
,"Calgary, Canadá",19585,11847,6681,6880,8929,484,3972,2472,-,2015
,"Edimburgo, Reino Unido",19510,9634,7196,6819,9174,562,2143,1401,-,2015
,"Wellington, Nueva Zelanda",19466,9906,7034,6786,10009,471,2833,1247,-,2015
,"Seattle, Washington, Estados Unidos",19355,12449,5399,6659,9071,413,3990,2338,-,2015
,"Saint Louis, Missouri, Estados Unidos",19225,13489,2779,8333,8035,239,2525,3667,-,2015
,"Trondheim, Noruega",19219,9345,8169,8624,11993,765,1914,2180,-,2015
,"San Diego, California, Estados Unidos",19156,12960,5674,6970,7733,293,4800,3512,-,2015
,"Ginebra, Suiza",18991,13021,6215,6000,14518,1013,1760,2381,-,2015
,"Riad, Arabia Saudita",18974,13280,6791,7553,5222,255,2260,6992,-,2015
,"Victoria, Canadá",18514,10208,5684,7202,8489,633,3175,1506,-,2015
,"Melbourne, Australia",18296,11338,6012,7514,9703,845,3684,2334,-,2015
,"Viena, Austria",17828,10022,6948,8079,7702,1330,2486,2502,-,2015
,"Chicago, Illinois, Estados Unidos",17747,12749,3943,6292,7965,361,3250,3666,-,2015
,"Copenhague, Dinamarca",17530,9668,7320,7449,10572,678,3000,2882,-,2015
,"Brisbane, Australia",17414,10005,6175,7778,9549,638,4656,2096,-,2015
,"Estocolmo, Suecia",17412,10562,5402,6944,8915,1188,3556,1238,-,2015
,"Edmonton, Canadá",17286,10179,6055,7668,8492,449,4550,2897,-,2015
,"Berlín, Alemania",17063,9708,6745,7500,7472,749,4200,2861,-,2015
,"Tokio, Japón",17050,9679,7699,8503,8541,866,4415,3507,-,2015
,"Trieste, Italia",16948,8619,8226,7346,8524,547,2000,4215,-,2015
,"Perth, Australia",16685,10518,5576,6784,10899,719,3664,2457,-,2015
,"Glasgow, Reino Unido",16676,9932,4734,9187,9277,518,4767,2625,-,2015
,"Vancouver, Canadá",16634,9470,6337,7519,9019,961,4125,2060,-,2015
,"Helsinki, Finlandia",16631,9139,6437,7137,9420,1094,2700,1983,-,2015
,"Ámsterdam, Países Bajos",16492,9963,6686,6463,8819,841,2700,3421,-,2015
,"Brístol, Reino Unido",16486,10112,6252,8778,9781,1378,2633,3175,-,2015
,"Adelaida, Australia",16483,9375,5804,6279,9890,628,2629,2336,-,2015
,"Hamburgo, Alemania",16435,9813,6673,6333,8179,848,2862,3287,-,2015
,"Dubai, Emiratos Árabes Unidos",16245,10630,7842,6098,7034,633,3158,5564,-,2015
,"Oslo, Noruega",16229,9905,6009,7329,11538,859,3033,2804,-,2015
,"Atlanta, Georgia, Estados Unidos",16222,15621,4014,6852,7570,276,5400,7569,-,2015
,"Los Angeles, California, Estados Unidos",16147,13693,4640,6509,6941,517,4533,6092,-,2015
,"San Francisco, California, Estados Unidos",16130,11672,5651,6829,9700,828,3729,4235,-,2015
,"Toronto, Canadá",16115,10350,6834,7055,8174,904,4285,3802,-,2015
,"Valencia, España",16060,8057,7324,8000,6544,935,2300,3661,-,2015
,"Montreal, Canadá",15985,10025,6345,6607,8115,552,4419,3666,-,2015
,"Sídney, Australia",15961,10490,5922,7050,10042,876,4279,3095,-,2015
,"Bursa, Turquía",15673,5866,8323,7698,4933,434,4238,2811,-,2015
,"Abu Dabi, Emiratos Árabes Unidos",15590,10535,8685,4802,6228,576,2767,6580,-,2015
,"Auckland, Nueva Zelanda",15459,8908,5364,7228,9624,687,3483,2546,-,2015
,"Regina, Canadá",15325,10174,5829,5663,8502,591,3867,3737,-,2015
,"Phoenix, Arizona, Estados Unidos",15284,12489,4468,6424,7230,297,2833,6812,-,2015
,"Houston, Texas, Estados Unidos",15098,12127,4080,7529,8986,265,3977,6037,-,2015
,"Jeddah (Jiddah), Arabia Saudita",15072,12056,6493,4926,5059,338,3400,7429,-,2015
,"Winnipeg, Canadá",14941,9380,4304,6690,7565,618,3483,3021,-,2015
,"Ciudad del Cabo, Sudáfrica",14669,9771,2838,7735,4404,459,4673,3462,-,2015
,"Doha, Catar",14345,11456,7875,7500,7400,814,2927,8694,-,2015
,"Pretoria, Sudáfrica",14300,12958,2298,7412,4673,213,4257,7099,-,2015
,"Gdansk, Polonia",14064,6626,7109,6303,4438,912,2675,3497,-,2015
,"Tallin, Estonia",13907,4936,7043,7138,6482,1187,2300,1561,-,2015
,"Filadelfia, Pensilvania, Estados Unidos",13734,10999,3392,5889,8857,294,3500,5144,-,2015
,"Liubliana, Eslovenia",13701,6873,6902,5510,6513,1027,1878,3308,-,2015
,"Sevilla (Sevilla), España",13600,7622,7075,5476,6293,977,2740,3984,-,2015
,"Praga, República Checa",13225,6995,6707,6924,4973,1164,3250,3815,-,2015
,"Miami, Florida, Estados Unidos",13158,10563,4029,6111,8424,431,5920,4476,-,2015
,"Dublín, Irlanda",12871,8889,4544,4430,9556,685,3579,3069,-,2015
,"Taipéi, Taiwán",12335,8464,7866,8673,5589,2579,2960,5109,-,2015
,"Brno, República Checa",12287,6432,6755,6250,4971,1118,3000,4105,-,2015
,"Vilna, Lituania",12033,4695,7082,7019,5385,1341,3133,2657,-,2015
,"Salónica, Grecia",11946,5093,6775,7707,6662,998,1700,4402,-,2015
,"Oporto, Portugal",11850,5965,5340,6898,5587,728,2229,4382,-,2015
,"Cluj-Napoca, Rumania",11797,4482,8061,5648,4195,1161,2356,3715,-,2015
,"Nueva York, Nueva York, Estados Unidos",11739,10000,5285,4625,10000,893,3938,5282,-,2015
,"Lisboa, Portugal",11623,5774,6527,6408,5953,1037,3941,3516,-,2015
,"Johannesburgo, Sudáfrica",11574,11808,1721,5705,4896,268,3987,7368,-,2015
,"Seúl, Corea del Sur",11554,8860,8183,7194,8367,1417,3420,7323,-,2015
,"Zagreb, Croacia",11207,5394,6743,6372,6033,1224,3000,3776,-,2015
,"Madrid, España",11190,7402,6440,7329,6910,1143,3208,5935,-,2015
,"Bruselas, Bélgica",11171,8534,4715,7370,9277,675,2150,6804,-,2015
,"Poznan, Polonia",11148,5673,7422,5167,4549,1077,4125,4048,-,2015
,"Varsovia, Polonia",11119,7115,6925,5825,4804,1149,3661,5514,-,2015
,"Brasilia, Brasil",11115,6693,4221,4807,5875,1193,2080,3046,-,2015
,"Ahmedabad, India",11013,6596,7799,6713,2737,699,4617,7035,-,2015
,"Bratislava, Eslovaquia",10919,6175,6559,5389,5440,1089,3220,4494,-,2015
,"Brasov, Rumania",10843,3693,7344,3259,4330,1129,2750,1987,-,2015
,"Mánchester, Reino Unido",10813,7154,4987,7044,9185,949,4267,4234,-,2015
,"Breslavia, Polonia",10535,6364,6684,5730,4414,1007,4262,5180,-,2015
,"Singapur, Singapur",10375,7325,8419,6291,9787,2176,4431,4385,-,2015
,"Tel Aviv-Yafo, Israel",10156,7159,6777,7856,8554,1589,4362,5444,-,2015
,"Londres, Reino Unido",9709,8295,5343,7473,10580,1656,4405,5199,-,2015
,"Esmirna, Turquía",9532,4746,7433,8258,4851,773,2600,7602,-,2015
,"Barcelona, España",9326,7362,5789,6947,6894,1111,2871,7316,-,2015
,"Coimbatore, India",9269,5205,5874,8380,2260,1063,5320,5793,-,2015
,"Riga, Letonia",9086,4309,6149,6713,5774,1343,2400,4649,-,2015
,"Bangalore, India",9015,7969,4868,6601,2812,845,4968,7669,-,2015
,"Cracovia (Cracovia), Polonia",9002,6380,6418,6111,4447,1238,3200,6781,-,2015
,"Ankara, Turquía",8846,6484,6068,6315,4824,552,3845,7855,-,2015
,"París, Francia",8814,8921,4510,8074,9961,1723,3945,6615,-,2015
,"Budapest, Hungría",8618,4799,5844,5456,5115,894,3547,5208,-,2015
,"Hyderabad, India",8499,7113,5839,6676,2577,657,5045,8478,-,2015
,"Bania Luka, Bosnia y Herzegovina",7769,4633,6633,3935,4246,1163,2460,5900,-,2015
,"Chennai, India",7726,6553,5747,6569,2667,1404,4094,7533,-,2015
,"Islamabad, Pakistán",7695,3456,5656,6722,3508,1134,1920,5935,-,2015
,"Minsk, Bielorrusia",7624,3639,7145,5040,5171,1608,3020,4633,-,2015
,"Pune, India",7323,7456,5201,6878,2811,1125,6086,8116,-,2015
,"Estambul, Turquía",7275,5302,5787,7222,5340,1001,5661,6579,-,2015
,"Buenos Aires, Argentina",7061,5867,3772,7980,7475,1223,4542,5913,-,2015
,"Sofía, Bulgaria",6883,4476,5106,5947,4492,944,3627,6296,-,2015
,"Hong Kong, Hong Kong, China)",6524,6712,8220,8062,7736,3683,4460,5741,-,2015
,"Kuala Lumpur, Malasia",6489,7180,2466,6303,4821,953,3892,7376,-,2015
,"Turín, Italia",6453,7302,3602,6759,8051,1171,3250,7853,-,2015
,"Milán, Italia",6189,7398,4795,6858,8373,1870,3936,7352,-,2015
,"Tiflis, Georgia",6074,2679,7858,6259,4018,1444,3800,6537,-,2015
,"Belgrado, Serbia",5749,4002,5943,5378,4517,1824,2676,6009,-,2015
,"Atenas, Grecia",5736,4554,4946,4908,7048,1131,3991,5814,-,2015
,"Santiago de Chile, Chile",5544,5311,5319,6139,5500,1021,4600,7883,-,2015
,"Bucarest, Rumania",5292,3904,6873,5143,4479,1282,3545,7606,-,2015
,"Delhi, India",5145,6746,4109,7029,2966,1595,4638,8594,-,2015
,"Almaty, Kazajistán",5132,4717,5318,6528,5680,1164,4000,7874,-,2015
,"Ereván, Armenia",5077,2813,6852,4833,4139,1301,2609,7057,-,2015
,"Ciudad de México, México",4948,5915,3429,6520,4709,806,4800,8344,-,2015
,"Bangkok, Tailandia",4611,4245,6430,8642,5210,1924,4890,7943,-,2015
,"Recife, Brasil",4577,6659,1907,7526,5235,924,5785,7989,-,2015
,"Curitiba, Brasil",4419,3088,3641,5278,5296,1871,3855,3810,-,2015
,"Amán, Jordania",4215,3915,5221,6831,6263,844,5140,8020,-,2015
,"Chisináu, Moldavia",4208,2385,5030,5269,3489,1716,2460,5724,-,2015
,"Calcuta, India",4092,5870,4727,4022,2602,1080,5800,8254,-,2015
,"San Petersburgo, Rusia",3658,4638,5597,5828,6111,1645,5500,7330,-,2015
,"Bogotá, Colombia",3570,3347,4703,6429,4280,1574,4536,6746,-,2015
,"Belo Horizonte, Brasil",3523,4070,3432,6032,5236,1984,5150,5047,-,2015
,"Shanghái, China",3291,5603,7251,5872,5707,2668,4280,8568,-,2015
,"Roma, Italia",2765,5809,4402,5734,8375,2420,4510,6944,-,2015
,"Kiev (Kiev), Ucrania",2229,3592,5489,4508,4449,1741,3410,8158,-,2015
,"Beirut, Líbano",2020,4677,4753,7023,6986,1793,4175,9164,-,2015
,"Porto Alegre, Brasil",1433,4096,2489,4611,5485,1721,4488,6552,-,2015
,"Nairobi, Kenia",1338,3063,3254,6270,5434,1242,6520,6969,-,2015
,"Sao Paulo, Brasil",558,4479,2611,5081,6183,1663,4919,7899,-,2015
,"Manila, Filipinas",442,3763,3227,6192,4603,1126,5382,9475,-,2015
,"Moscú, Rusia",430,4771,4585,4876,7565,2201,5289,8158,-,2015
,"Pekín, China",-249,5327,5442,6056,5297,3306,3617,9705,-,2015
,"Yakarta, Indonesia",-401,2500,5120,6447,4469,2369,5070,8297,-,2015
,"Bombay, India",-1154,5384,5094,6092,3074,3254,7020,9272,-,2015
,"Daca, Bangladés",-1229,3465,3455,3556,4041,1192,5767,9489,-,2015
,"El Cairo, Egipto",-1249,2748,3895,5109,3818,1055,6029,10083,-,2015
,"Karachi, Pakistán",-1327,3039,2020,4710,3191,1429,2725,9877,-,2015
,"Ciudad Ho Chi Minh, Vietnam",-1565,2310,4868,3889,4397,1993,3343,9433,-,2015
,"Teherán, Irán",-1958,3117,4297,4805,4829,2359,5983,8524,-,2015
,"Río de Janeiro, Brasil",-2278,3700,2736,3265,6109,2187,5605,7764,-,2015
,"Ulán Bator, Mongolia",-3946,2341,2975,2723,5257,1907,3686,9671,-,2015
,"Caracas, Venezuela",-6508,973,1559,4167,14141,2573,3225,7647,-,2015
,"Canberra, Australia",24156,16869,7197,8330,7620,601,1810,1047,8412,2016
,"Adelaida, Australia",21552,16310,5960,6660,7789,517,2669,2606,9061,2016
,"Zúrich, Suiza",21307,18486,8025,7078,13099,1056,3112,1242,6258,2016
,"Edimburgo, Reino Unido",21125,13135,7139,7773,7492,681,2278,1559,7099,2016
,"Múnich, Alemania",21086,15348,8426,8358,7116,1083,2567,1784,4738,2016
,"Melbourne, Australia",21071,15320,6418,7758,7535,852,3570,2523,8915,2016
,"Wellington, Nueva Zelanda",20958,11804,6886,6601,8016,609,2650,1069,8806,2016
,"Victoria, Canadá",20865,13138,6350,7290,6857,565,3020,1344,7722,2016
,"Brisbane, Australia",20368,14066,6387,7953,7652,774,4256,2125,8431,2016
,"Ginebra, Suiza",20358,18103,6449,6892,12907,996,2200,2792,7348,2016
,"Sacramento, California, Estados Unidos",19992,13638,5709,7384,7840,383,2000,4234,9006,2016
,"Trondheim, Noruega",19933,11374,7981,8136,10805,792,1889,1101,5541,2016
,"Seattle, Washington, Estados Unidos",19609,14745,5954,7300,8322,589,3540,2639,7192,2016
,"Viena, Austria",19597,11981,7196,7880,6587,1672,2628,2117,7537,2016
,"Copenhague, Dinamarca",19415,12612,7322,7734,8928,768,2800,2721,6766,2016
,"Vancouver, Canadá",19363,12165,6111,7036,6501,1132,4000,2260,9132,2016
,"San Diego, California, Estados Unidos",19194,12322,6222,7326,7617,692,3482,4007,9701,2016
,"Perth, Australia",19071,13323,5249,6998,8508,857,3368,3017,9145,2016
,"Mineápolis, Estados Unidos",19050,14226,5728,7566,8106,311,2375,2522,4541,2016
,"Ottawa, Canadá",18996,14730,7731,7225,6375,585,4219,2013,3320,2016
,"Hamilton, Canadá",18947,16152,5528,7823,5601,518,4089,4373,6381,2016
,"Boston, Massachusetts, Estados Unidos",18902,12449,6013,7902,8470,756,3471,2494,7207,2016
,"Sídney, Australia",18830,13661,5680,7174,8085,1160,4142,2902,8880,2016
,"Ciudad del Cabo, Sudáfrica",18783,12685,2800,7361,3418,446,4265,3277,9623,2016
,"Reikiavik, Islandia",18659,9714,7460,7626,9699,569,1900,1548,4969,2016
,"Hamburgo, Alemania",18629,15198,5137,7545,7218,869,3291,3107,5985,2016
,"Monterrey, México",18571,16735,4861,5662,3908,282,2746,5512,6586,2016
,"Auckland, Nueva Zelanda",18406,11881,5692,7481,8038,985,4147,3059,9042,2016
,"Calgary, Canadá",18333,16246,6761,6672,7057,510,3708,3098,3252,2016
,"Denver, Colorado, Estados Unidos",18253,12751,6567,8348,7817,481,4167,3332,5758,2016
,"Austin, Texas, Estados Unidos",18167,13916,5878,7559,7023,543,3475,4641,6833,2016
,"Ámsterdam, Países Bajos",18146,12204,6392,6743,7629,882,2953,3891,7700,2016
,"Portland, Oregon, Estados Unidos",18145,12198,5250,5594,8004,465,3053,2156,6867,2016
,"Riad, Arabia Saudita",18136,18409,8033,7610,5005,228,4175,6837,3175,2016
,"Estocolmo, Suecia",18051,13034,5702,7111,8350,1463,3991,1135,6055,2016
,"Helsinki, Finlandia",18024,12976,6867,7543,7961,1017,3100,2142,3940,2016
,"Bursa, Turquía",17935,8074,7322,7878,4358,394,4000,2571,5745,2016
,"Toronto, Canadá",17769,13899,6639,6898,6586,978,4373,4456,7165,2016
,"Seúl, Corea del Sur",17747,11687,8572,8154,7833,1664,3144,3535,5367,2016
,"Berlín, Alemania",17740,12270,6146,7603,6634,859,3350,3805,6230,2016
,"Phoenix, Arizona, Estados Unidos",17628,19938,4095,6655,7084,211,3000,6783,5185,2016
,"Salónica, Grecia",17615,8269,6885,7581,5204,615,2283,5792,8981,2016
,"Gdansk, Polonia",17611,8193,7246,6441,3932,1086,2610,3268,6982,2016
,"Lisboa, Portugal",17544,7620,6518,6856,5087,1209,3585,3441,9614,2016
,"Tallin, Estonia",17462,7876,7379,6743,5052,1138,2027,1700,4442,2016
,"Brno, República Checa",17238,9374,7014,7199,4165,967,2631,4327,6206,2016
,"Oporto, Portugal",17118,8028,5244,7289,4933,770,3100,4254,9024,2016
,"Edmonton, Canadá",17054,12864,5981,7483,7076,539,3800,2849,3357,2016
,"Liubliana, Eslovenia",16987,9162,7189,5838,5300,1061,2188,3300,5615,2016
,"Montreal, Canadá",16964,13067,6195,6058,6169,652,4382,3584,5365,2016
,"Atlanta, Georgia, Estados Unidos",16857,13939,3599,7121,7570,340,3642,5512,7966,2016
,"Pretoria, Sudáfrica",16842,17273,1923,6286,3489,183,4845,7527,9557,2016
,"Madrid, España",16774,10177,6828,7617,6079,1116,3464,6139,8798,2016
,"Cluj-Napoca, Rumania",16661,7028,7863,6227,3468,1105,3275,3323,6157,2016
,"Timisoara, Rumania",16614,6750,7680,5879,3316,1068,1688,5193,7520,2016
,"Tokio, Japón",16599,11350,7970,7773,8509,2597,4852,3486,8029,2016
,"San Francisco, California, Estados Unidos",16441,10583,5210,7260,10336,1370,3512,4421,9678,2016
,"Praga, República Checa",16395,9061,6895,7167,4310,1278,3753,4209,6556,2016
,"Regina, Canadá",16319,14844,5453,6329,6717,374,3056,3585,1516,2016
,"Winnipeg, Canadá",16315,13314,4852,7101,6364,438,2938,3666,2694,2016
,"Oslo, Noruega",16279,12632,6197,7002,9598,943,3883,2511,3609,2016
,"Esmirna, Turquía",16247,6668,6925,8403,4347,652,3771,6547,9056,2016
,"Taipéi, Taiwán",16206,12606,8025,8629,5667,2602,2642,4337,3293,2016
,"Dublín, Irlanda",16023,12017,4559,4818,8034,986,3573,3270,7138,2016
,"Zagreb, Croacia",15994,7089,6853,6375,4897,1226,3370,3761,7158,2016
,"Abu Dabi, Emiratos Árabes Unidos",15921,15823,8329,5671,6147,507,2890,5515,35,2016
,"Barcelona, España",15899,11105,5821,7075,6286,984,3555,7097,8934,2016
,"Los Angeles, California, Estados Unidos",15781,12713,4576,6537,7778,902,3673,7079,9614,2016
,"Mánchester, Reino Unido",15722,9903,4759,7323,8480,764,3882,4356,7516,2016
,"Bratislava, Eslovaquia",15611,7202,6597,6204,4976,1250,2810,4417,7089,2016
,"Chicago, Illinois, Estados Unidos",15591,12765,3275,6379,8514,427,4017,3928,6104,2016
,"Filadelfia, Pensilvania, Estados Unidos",15580,10823,3567,6682,8357,489,2829,5160,7618,2016
,"Novi Sad, Serbia",15446,5605,5006,4954,3324,1308,1867,3874,8416,2016
,"Varsovia, Polonia",15306,8541,7367,6157,4075,1237,3660,5316,6339,2016
,"Bania Luka, Bosnia y Herzegovina",15236,6043,6938,5014,3459,1214,2440,5141,7796,2016
,"Bruselas, Bélgica",15210,11479,4546,7647,7907,750,3100,7047,7732,2016
